Core Proteins,Interacting Proteins,Pathways,HPO terms,Diseases,Targeting Drugs,Experimental Bioactive Compounds (pChEMBL),Predicted interacting Compounds
APC (P25054),,R-HSA-5467333 APC truncation mutants are not K63 polyubiquitinated[scr:509]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33],HP:0007649 Congenital hypertrophy of retinal pigment epithelium[scr:174]; HP:0006572 Subacute progressive viral hepatitis[scr:155]; HP:0002888 Ependymoma[scr:109]; HP:0006562 Viral hepatitis[scr:100]; HP:0012174 Glioblastoma multiforme[scr:99]; HP:0002885 Medulloblastoma[scr:87],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534]; Orphanet:220460 Attenuated familial adenomatous polyposis (EFO)[scr:153]; MONDO:0007608 desmoid tumor (EFO)[scr:76]; Orphanet:247806 APC-related attenuated familial adenomatous polyposis (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00047 Gallbladder cancer (KEGG)[scr:159]; H01025 Familial adenomatous polyposis (KEGG)[scr:141]; H02302 Hepatoblastoma (KEGG)[scr:141]; H00044 Cancer of the anal canal (KEGG)[scr:94],,,
CTNNB1 (P35222),ZIC3 (O60481); ipaC (P18012); CAV1 (P33724); axin1 (Q9YGY0); Ryk (Q01887); TCF7L1 (Q9HCS4),hsa04520 Adherens junction[scr:67]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04916 Melanogenesis[scr:60]; hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33],HP:0006572 Subacute progressive viral hepatitis[scr:155]; HP:0006562 Viral hepatitis[scr:100]; HP:0100621 Dysgerminoma[scr:98]; HP:0002885 Medulloblastoma[scr:87],MONDO:0008170 ovarian cancer (EFO)[scr:86]; EFO:0001075 ovarian carcinoma (EFO)[scr:86]; H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H02302 Hepatoblastoma (KEGG)[scr:141]; H00032 Thyroid cancer (KEGG)[scr:110]; H00947 Pilomatricoma (KEGG)[scr:71]; H02301 Nephroblastoma (KEGG)[scr:71],,,
TGFBR1 (P36897),Rnf5 (O35445); Ubd (P63072); Cdc42ep4 (Q9JM96),hsa04520 Adherens junction[scr:67]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45],,Orphanet:65748 Multiple keratoacanthoma- Ferguson-Smith type (EFO)[scr:76]; H00018 Gastric cancer (KEGG)[scr:9999999],DB04480 3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5-6-Dihydro-4h-Pyrrolo[1-2-B]Pyrazole[scr:85],CHEMBL4101751 (pChEMBL: 9) [scr:71.25]; CHEMBL519948 (pChEMBL: 9.48) [scr:71.25],
MLH1 (P40692),ABCC3 (O15438); TPRG1L (Q5T0D9); NT5C3B (Q969T7); FRAT2 (O75474); CYLC2 (Q14093),,HP:0002888 Ependymoma[scr:109]; HP:0012174 Glioblastoma multiforme[scr:99]; HP:0002885 Medulloblastoma[scr:87],H00018 Gastric cancer (KEGG)[scr:9999999]; H00026 Endometrial cancer (KEGG)[scr:294]; H00027 Ovarian cancer (KEGG)[scr:113],,,
CDKN1B (P46527),,R-HSA-8849470 PTK6 Regulates Cell Cycle[scr:339]; R-HSA-6804116 TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest[scr:327]; R-HSA-69563 p53-Dependent G1 DNA Damage Response[scr:291]; hsa04012 ErbB signaling pathway[scr:25]; hsa04151 PI3K-Akt signaling pathway[scr:24],HP:0002888 Ependymoma[scr:109],H00018 Gastric cancer (KEGG)[scr:9999999],,,
CDX2 (Q99626),,,,H00018 Gastric cancer (KEGG)[scr:9999999],,,
IRF1 (P10914),,hsa04625 C-type lectin receptor signaling pathway[scr:43],,MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534],,,
CASP10 (Q92851),CASP10 (Q92851),,HP:0030886 Abnormal lymphocyte apoptosis[scr:131]; HP:0002731 Decreased lymphocyte apoptosis[scr:131],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534],,,
KLF6 (Q99612),,,,MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534],,,
MUTYH (Q9UIF7),CYLC2 (Q14093),R-HSA-9608290 Defective MUTYH substrate processing[scr:509]; R-HSA-9608287 Defective MUTYH substrate binding[scr:509],HP:0007649 Congenital hypertrophy of retinal pigment epithelium[scr:174],MONDO:0001056 gastric cancer (EFO)[scr:9999999]; EFO:0000178 gastric carcinoma (EFO)[scr:534]; Orphanet:220460 Attenuated familial adenomatous polyposis (EFO)[scr:153]; Orphanet:247798 MUTYH-related attenuated familial adenomatous polyposis (EFO)[scr:76]; H01025 Familial adenomatous polyposis (KEGG)[scr:141],,,
CYP1A2 (P05177),,R-HSA-211957 Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2[scr:509]; R-HSA-9027307 Biosynthesis of maresin-like SPMs[scr:339]; hsa00232 Caffeine metabolism[scr:26],,,DB00831 Trifluoperazine[scr:9999999],,
CALM1 (P0DP23),,R-HSA-111997 CaM pathway[scr:509]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04015 Rap1 signaling pathway[scr:61]; hsa04916 Melanogenesis[scr:60]; hsa04916 Melanogenesis[scr:60]; hsa04916 Melanogenesis[scr:60]; hsa04218 Cellular senescence[scr:51]; hsa04218 Cellular senescence[scr:51]; hsa04218 Cellular senescence[scr:51]; hsa04371 Apelin signaling pathway[scr:45]; hsa04371 Apelin signaling pathway[scr:45]; hsa04371 Apelin signaling pathway[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04720 Long-term potentiation[scr:45]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04625 C-type lectin receptor signaling pathway[scr:43]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04722 Neurotrophin signaling pathway[scr:38]; hsa04744 Phototransduction[scr:35]; hsa04744 Phototransduction[scr:35]; hsa04744 Phototransduction[scr:35]; hsa04912 GnRH signaling pathway[scr:33]; hsa04912 GnRH signaling pathway[scr:33]; hsa04912 GnRH signaling pathway[scr:33]; hsa04014 Ras signaling pathway[scr:27]; hsa04014 Ras signaling pathway[scr:27]; hsa04014 Ras signaling pathway[scr:27]; hsa04020 Calcium signaling pathway[scr:24]; hsa04020 Calcium signaling pathway[scr:24]; hsa04020 Calcium signaling pathway[scr:24]; hsa04728 Dopaminergic synapse[scr:24]; hsa04728 Dopaminergic synapse[scr:24]; hsa04728 Dopaminergic synapse[scr:24]; hsa04910 Insulin signaling pathway[scr:23]; hsa04910 Insulin signaling pathway[scr:23]; hsa04910 Insulin signaling pathway[scr:23]; hsa04915 Estrogen signaling pathway[scr:22]; hsa04915 Estrogen signaling pathway[scr:22]; hsa04915 Estrogen signaling pathway[scr:22]; hsa04970 Salivary secretion[scr:22]; hsa04970 Salivary secretion[scr:22]; hsa04970 Salivary secretion[scr:22],,MONDO:0014548 long QT syndrome 14 (EFO)[scr:76],DB00831 Trifluoperazine[scr:9999999]; DB04513 N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide[scr:113]; DB00850 Perphenazine[scr:113]; DB01100 Pimozide[scr:85],CHEMBL3337496 (pChEMBL: 9) [scr:71.25],
CYP2D6 (P10635),,R-HSA-9027307 Biosynthesis of maresin-like SPMs[scr:339],,,DB00831 Trifluoperazine[scr:9999999],,
DRD2 (P14416),DRD2 (P14416),hsa04015 Rap1 signaling pathway[scr:61]; hsa04728 Dopaminergic synapse[scr:24],,,DB00831 Trifluoperazine[scr:9999999]; DB00450 Droperidol[scr:169]; DB00850 Perphenazine[scr:113]; DB01100 Pimozide[scr:85],CHEMBL3299094 (pChEMBL: 9.41) [scr:71.25]; CHEMBL3298828 (pChEMBL: 9.22) [scr:71.25]; CHEMBL3952761 (pChEMBL: 9.06) [scr:71.25]; CHEMBL3912435 (pChEMBL: 9.22) [scr:71.25]; CHEMBL2165120 (pChEMBL: 9) [scr:71.25]; CHEMBL3286578 (pChEMBL: 9.64) [scr:71.25],
S100A4 (P26447),S100A4 (P26447),,,,DB00831 Trifluoperazine[scr:9999999],,
ADRA1A (P35348),ADRA1A (P35348),hsa04020 Calcium signaling pathway[scr:24]; hsa04970 Salivary secretion[scr:22],,,DB00831 Trifluoperazine[scr:9999999]; DB00450 Droperidol[scr:169]; DB08950 Indoramin[scr:85],,CHEMBL3966991 [scr:10.04]; CHEMBL1546320 [scr:10.04]; CHEMBL3644570 [scr:10.04]; CHEMBL3770370 [scr:10.04]; CHEMBL3907426 [scr:10.04]; CHEMBL3407901 [scr:10.04]; CHEMBL1547915 [scr:10.04]; CHEMBL1582182 [scr:10.04]; CHEMBL3656153 [scr:10.04]; CHEMBL2332527 [scr:10.04]; CHEMBL3403688 [scr:10.04]; CHEMBL2070225 [scr:10.04]; CHEMBL1546359 [scr:10.04]; CHEMBL3962329 [scr:10.04]; CHEMBL3197212 [scr:10.04]; CHEMBL1583529 [scr:10.04]; CHEMBL2338804 [scr:10.04]; CHEMBL3909739 [scr:10.04]; CHEMBL3356559 [scr:10.04]
TNNC1 (P63316),,hsa04020 Calcium signaling pathway[scr:24],,,DB00831 Trifluoperazine[scr:9999999]; DB04513 N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide[scr:113],,
EBP (Q15125),EBP (Q15125),,HP:0008131 Tarsal stippling[scr:87],H02248 MEND syndrome (KEGG)[scr:71],DB00831 Trifluoperazine[scr:9999999],CHEMBL365842 (pChEMBL: 9) [scr:142.5]; CHEMBL62540 (pChEMBL: 9) [scr:142.5]; CHEMBL17470 (pChEMBL: 9.22) [scr:95],
HSD17B10 (Q99714),,,,,DB00831 Trifluoperazine[scr:9999999],,
SIGMAR1 (Q99720),SIGMAR1 (Q99720),,,Orphanet:139552 Distal hereditary motor neuropathy- Jerash type (EFO)[scr:76],DB00831 Trifluoperazine[scr:9999999],CHEMBL365842 (pChEMBL: 10.4) [scr:142.5]; CHEMBL62540 (pChEMBL: 9.22) [scr:142.5]; CHEMBL17470 (pChEMBL: 9.3) [scr:95]; CHEMBL3409378 (pChEMBL: 9.22) [scr:71.25],
EBPL (Q9BY08),,,,,DB00831 Trifluoperazine[scr:9999999],,
CALY (Q9NYX4),,hsa04728 Dopaminergic synapse[scr:24],,,DB00831 Trifluoperazine[scr:9999999],,
CAV1 (P33724),,,,,,,
ZIC3 (O60481),,hsa04550 Signaling pathways regulating pluripotency of stem cells[scr:33],,,,,
FRAT2 (O75474),,,,,,,
CYLC2 (Q14093),,,,,,,
Rnf5 (O35445),,,,,,,
Ryk (Q01887),,,,,,,
NT5C3B (Q969T7),,,,,,,
ipaC (P18012),,,,,,,
axin1 (Q9YGY0),,,,,,,
cobB (Q9WYW0),,,,,,,
tcsL (Q46342),,,,,,,
TCF7L1 (Q9HCS4),,hsa04520 Adherens junction[scr:67]; hsa04916 Melanogenesis[scr:60],,,,,
inlB (P0DQD2),,,,,,,
RPRML (Q8N4K4),,,,,,,
SLC7A4 (O43246),,,,,,,
ABCC3 (O15438),,,,,,,
Ubd (P63072),,,,,,,
TPRG1L (Q5T0D9),,,,,,,
Cdc42ep4 (Q9JM96),,,,,,,
Smyd2 (Q8R5A0),,,,,,,
